x,y
230.7019958,20.89599997
221.8426514,23.84949994
212.9539795,26.60422897
205.1512909,30.69506073
213.5917206,27.89381409
223.0014801,26.45535326
217.6186981,34.40703678
210.7135773,41.20846748
205.0123596,49.30475998
199.894455,57.58171463
195.5621948,66.40509796
191.416748,75.21853638
186.2120819,76.10825348
185.9513245,86.10884857
183.921875,94.94868469
173.9228516,95.1493454
164.4157562,97.09841156
155.6885529,101.3411484
164.2956543,98.96196747
173.795929,96.51702881
183.5251923,97.97206879
193.1581726,100.2891312
201.8028717,104.427887
210.0213165,109.2398376
217.3587494,115.5911636
224.5222473,122.0596771
230.8970947,129.4303284
236.8559723,137.1264801
241.6706696,145.4940796
246.5739136,153.9284821
250.9615784,162.768158
254.3345795,171.9885254
257.1364746,181.447403
258.6160278,187.5606079
257.8952484,177.6089935
255.4616089,167.999115
251.9503021,159.1219482
247.5323792,150.4943085
243.1468811,142.0042114
238.1823578,133.64048
231.7706604,126.1024628
225.3337555,118.7469559
217.6404114,112.4833755
209.7410278,106.7453461
201.1698303,102.1824417
192.7541199,97.86220551
193.3099365,90.21726227
193.7792969,86.95429993
191.6601563,80.24665451
195.23349,71.14089203
199.828598,62.60955048
204.4412079,54.01868439
208.0269012,60.12369919
213.7211304,53.68148041
219.7240295,46.00460815
225.3611603,38.0900631
232.2273254,30.8796072
232.9700012,37.579916
229.7503662,46.60800934
233.8833618,43.69208908
240.1801758,36.40031242
243.175827,43.76230812
240.8553467,53.34861374
243.9186096,47.35482407
248.1078339,38.70819283
251.4984283,46.12976456
249.1306305,55.74021149
251.3395538,65.04840469
252.6256866,71.15178299
254.8803558,61.58518982
255.5128174,51.65288353
255.5457153,41.64891434
253.1755829,32.70465755
247.1802521,25.80436182
238.0249481,22.40854192
200.1774292,32.54578876
201.0636139,34.41900635
191.5226898,38.7467556
152.5112305,39.01342773
142.9394684,41.41534233
134.3567123,45.77890968
126.2258835,51.10068321
131.9159775,49.33855057
140.5118942,44.53915405
142.2772827,49.72474861
136.5253906,57.59595108
130.9370728,65.63462067
127.2638168,74.45550537
123.3678589,83.47992325
120.298851,92.79104614
118.9394836,102.6753006
117.1783981,112.3591843
116.9945526,122.3612061
117.0262985,132.3649979
118.4664459,138.2728424
122.5479279,130.8197556
118.4830627,123.4094849
118.6223145,113.406517
120.6528168,103.7731476
121.9555054,93.93048096
125.7076569,84.94299316
130.493309,81.97956467
133.6303024,80.84701538
137.7809372,71.93198776
142.9148788,63.63168335
148.0732422,55.29149246
155.5131989,54.16537857
152.9463348,63.58402252
150.1613617,73.05700684
151.2546234,75.9341011
154.5286865,66.58474731
157.5475006,57.12488556
163.7233734,54.96764755
164.0335999,64.96448898
164.3247681,74.9634285
166.2873993,69.42570496
167.4806366,59.74857712
173.2327576,55.98345947
176.8299561,65.13201904
178.1767883,74.8796196
184.060379,68.64892197
181.1807404,59.26189041
178.9919739,49.85173798
178.1711578,46.73856735
169.6911316,42.0358963
160.5580597,38.36766243
185.11203,42.38734627
188.2184601,41.91306496
276.5110779,51.67136765
269.8405762,59.08589172
272.2534332,59.03624344
279.9154053,52.80150604
283.0950012,48.53175354
117.3598785,57.26192474
110.9727097,64.53177643
103.926506,71.03032684
107.6604691,69.8587532
114.3459244,62.94618988
121.5459595,56.38484192
294.9274902,56.62272263
285.7900391,59.63454819
278.8199463,66.44211578
276.8289795,71.19597626
284.5650024,65.66032791
292.7547913,60.44287491
303.7882996,66.16667557
295.1550903,70.47316742
300.8881836,69.99532318
310.6239929,68.15348816
306.3469238,65.23623657
248.7358856,80.57374954
251.7705231,80.54599762
100.5409164,77.06635284
99.11940002,81.22527695
219.2578888,79.7624855
228.3749237,79.25429535
218.3883514,79.13225937
261.1282501,86.53639221
265.7111969,92.90287018
274.4727173,97.24971008
271.6092224,103.1896896
262.9158936,100.8443604
269.8534851,108.033493
276.4577332,115.5389938
282.5924988,123.2682419
288.033783,131.5423203
286.1343689,123.6290588
281.0152588,115.6359711
274.5544281,108.7919617
279.4604797,105.1395264
287.3769531,102.287674
293.3787537,99.0684967
285.7340698,94.04067993
276.9353027,89.88780975
267.8947296,86.92995453
260.7497253,81.168396
234.6637421,82.67601013
230.2319031,81.04065704
210.6816254,82.18036652
240.3026733,85.19387054
248.6183319,89.6467514
255.4145203,94.14792633
248.9198303,87.46219635
241.4683685,84.17647552
96.2539978,86.52616119
201.5674286,84.21204376
93.5860672,93.56415558
128.7216797,93.09992981
260.7997589,99.13822937
89.56117249,108.6391907
87.11811066,118.1118469
87.04355621,128.1152191
87.85572052,136.3429108
88.68415833,126.3775787
89.28733826,116.3932877
90.57318878,106.5351257
89.91981506,101.9088135
301.4712524,106.3498077
305.9094849,107.0397034
315.2576904,104.5359268
319.1759033,103.7729034
309.1724854,103.7177505
148.5796356,106.1433487
142.1849136,112.9412766
146.0666504,110.750473
282.1225281,107.0193558
324.5649414,106.1736984
334.3852234,114.3662415
331.4120789,109.349884
293.2901917,114.8473511
134.0256424,124.4947662
126.0339661,128.5028152
130.6890106,134.0684052
130.8199539,144.0705566
130.8199997,154.0744019
130.8199997,164.0785522
133.2327423,172.8640289
125.3361969,175.582077
115.3926315,175.3385925
106.5324326,179.6310577
99.19243622,185.7734222
100.8533707,186.8231506
108.5002136,181.2420502
117.5723343,178.2124176
127.5130234,179.0047607
134.8985367,185.2121124
139.1585617,194.0476379
142.5362549,202.8565521
147.7828751,211.2517242
153.2644806,219.2285004
160.2674866,225.1095581
154.4734802,217.5529022
149.1540985,209.4513397
144.8474808,200.5713348
140.4952621,191.7549896
137.5037842,182.3847961
134.8934555,173.0209503
134.2447281,163.0575104
132.3694153,153.3338013
132.8834534,143.3609543
134.7590179,133.7328949
137.4858475,124.3021088
139.0256653,117.4481888
340.0980225,129.8201065
338.2436218,139.1278458
336.3816528,145.5413513
339.9812012,149.8384705
342.9292603,156.3774109
347.1531067,158.143692
353.1877441,163.5495605
352.0401306,173.0705566
353.324707,182.2578735
355.7028503,191.7260284
356.0571594,201.7233429
356.5299683,211.7135925
361.9250183,216.6568756
359.1659546,226.0764923
356.886322,235.2280121
350.7630615,237.1713409
344.3945618,238.3416595
344.588623,244.9757996
345.8714905,251.9312439
339.5404663,259.4564209
331.2124939,264.7717133
322.4754333,269.3454895
314.115387,272.7666473
311.5019226,267.89151
304.3191223,274.4107513
307.9179077,279.625061
302.09021,286.259552
309.62323,280.6920166
317.7882385,275.2352295
326.1413879,269.9933777
334.4914551,264.7770996
343.5846558,260.8597412
352.1894226,256.2455597
355.5683899,252.6149292
357.3030396,243.5004425
360.1173401,234.506073
362.8115234,225.1230011
366.859436,218.8128662
363.0101929,211.1125183
362.7567749,201.1114807
362.2624817,191.1275635
360.0932312,181.5656128
357.2519531,172.1675873
354.3641052,162.8965149
350.157135,155.2304688
344.8852844,147.0993271
340.7648315,138.6525726
340.8249207,128.6505051
33.98427677,122.7820816
36.93297958,126.4757919
46.83292961,127.4749832
56.54191208,129.0436325
65.66266251,131.6060486
58.04159927,127.029007
49.66356087,122.8665848
39.66807365,122.5347519
291.9895935,136.8735809
27.9843235,139.061264
37.94851112,139.8594284
47.94623566,140.2035294
57.94939041,140.3273315
60.21445084,138.9358368
50.95757866,136.1884537
41.29367447,134.132843
31.29949474,134.2386246
293.214325,138.7348785
75.81153107,146.817276
71.03580856,152.4356537
68.89170456,161.2523804
65.63425827,170.0413361
63.87859726,179.7391815
62.14884567,189.2449341
59.8163147,198.8383789
59.38375854,208.8261719
59.82849121,218.8160858
62.26935577,228.3795471
64.21377563,237.7783661
66.80097198,247.2332306
70.07950592,256.4474792
73.37220383,265.5037231
75.63326645,274.6570129
67.65491486,280.1935425
61.59273911,287.3271179
55.92949677,294.7588806
51.28065491,303.2186584
48.96797562,312.7528381
48.48937416,322.7445068
48.51693916,332.7462769
49.38706589,329.0660095
49.60639763,319.0643005
52.08118439,309.8843384
55.1264801,300.5386658
60.32377243,292.3604736
66.70533371,285.331604
71.6626358,287.3005676
77.21010971,279.1327515
83.85515213,272.1069031
91.76207733,266.5886841
