x,y
20,235.6439972
20.0000058,245.6365051
20.00000536,255.6290283
20.00000493,265.6215363
20.00000449,275.6140442
20.00000405,285.6065674
20.00000362,295.5990601
20.00000318,305.5915833
20.00000274,315.5841064
20.00000231,325.5765991
20.00000187,335.5691223
20.00000143,345.5616455
20.000001,355.5541382
20.00000056,365.5466614
20.00000012,375.5391846
27.1756897,378.3559875
37.16819763,378.3559875
47.16070557,378.3559875
57.15322876,378.3559875
67.14573669,378.3559875
77.13824463,378.3559875
87.13076782,378.3559875
97.12327576,378.3559875
107.1157837,378.3559875
117.1083069,378.3559875
127.1008148,378.3559875
137.0933228,378.3559875
147.0858459,378.3559875
157.0783386,378.3559875
167.0708618,378.3559875
177.063385,378.3559875
187.0558777,378.3559875
197.0484009,378.3559875
207.0409241,378.3559875
217.0334167,378.3559875
227.0259399,378.3559875
237.0184631,378.3559875
247.0109558,378.3559875
257.003479,378.3559875
266.9960022,378.3559875
276.9884949,378.3559875
286.9810486,378.3559875
296.9735718,378.3559875
306.9660645,378.3559875
316.9585876,378.3559875
326.9511108,378.3559875
336.9436035,378.3559875
346.9361267,378.3559875
356.9286499,378.3559875
366.9211426,378.3559875
376.9136658,378.3559875
386.9061584,378.3559875
396.8986816,378.3559875
406.8911743,378.3559875
416.883728,378.3559875
426.8762207,378.3559875
436.8687134,378.3559875
446.8612671,378.3559875
456.8537598,378.3559875
466.8462524,378.3559875
476.8388062,378.3559875
486.8312988,378.3559875
496.8237915,378.3559875
506.8163452,378.3559875
516.8088379,378.3559875
526.8013306,378.3559875
535.4749756,377.0381165
535.4671021,367.0456238
535.4592896,357.0531311
535.451416,347.0606079
535.4436035,337.0681152
535.43573,327.0756226
535.4279175,317.0830688
535.4200439,307.0905762
535.4121704,297.0980835
535.4043579,287.1055298
535.3964844,277.1130371
535.3886719,267.1205444
535.3807983,257.128006
535.3729248,247.1355133
535.3651123,237.1430206
535.3571167,227.1504517
535.3491211,217.157959
535.3411865,207.1654663
535.3331909,197.1729126
535.3251953,187.1804199
535.3171997,177.1879425
535.3092041,167.1953888
535.3012085,157.2028961
535.2932129,147.2104111
535.2852173,137.217865
535.2772217,127.2253723
535.2692261,117.2328796
535.2612305,107.2403259
535.2532959,97.24784088
529.34729,93.15536499
519.3547363,93.15093994
509.3622437,93.14652252
499.369751,93.1421051
489.3772583,93.13768005
479.3847046,93.13326263
469.3922119,93.12883759
459.3997192,93.12442017
449.4072266,93.11999512
439.4146729,93.1155777
429.4221191,93.11115265
419.4296875,93.10673523
409.4371338,93.10231781
399.4445801,93.09789276
389.4521484,93.09347534
379.4595947,93.08905029
369.4670715,93.08463287
359.4746399,93.08020782
349.4820862,93.07579041
339.4895325,93.07136536
329.4971008,93.06694794
319.5045471,93.06252289
309.5119934,93.05810547
299.5195618,93.05368805
289.5270081,93.049263
279.5344543,93.04484558
269.5419617,93.04049683
259.549408,93.0361557
249.5568542,93.03180695
239.5644226,93.02746582
229.5718689,93.02311707
219.5793152,93.01877594
209.5868988,93.01442719
199.5943451,93.01008606
189.6017914,93.0057373
179.6093597,93.00139618
169.616806,92.99704742
159.6242523,92.9927063
149.6318207,92.98836517
139.639267,92.98401642
129.6467133,92.97967529
119.6542816,92.97532654
109.6617355,92.97098541
99.66918182,92.96663666
89.67675018,92.96229553
79.68419647,92.95794678
69.69164276,92.95360565
59.69921494,92.9492569
49.70666122,92.94491577
39.71410942,92.94056702
29.72167873,92.93622589
20.00000623,93.20283508
20.00000579,103.1953888
20.00000535,113.1878204
20.00000492,123.1803741
20.00000448,133.1729279
20.00000404,143.1653595
20.00000361,153.1579132
20.00000317,163.1504669
20.00000273,173.1428986
20.0000023,183.1354523
20.00000186,193.128006
20.00000142,203.1204376
20.00000098,213.1129913
20.00000055,223.105545
20.00000011,233.0979767
735.0986938,138.9351349
737.8615723,148.3750458
739.510498,158.2299042
740.1626587,168.1963654
739.7427368,178.1341553
739.0951538,187.9810791
737.513855,197.815094
735.9940796,205.50177
734.0525513,215.2358704
737.5980225,214.8686371
741.5984497,211.8978424
743.2136841,221.7306519
741.932251,230.1017303
746.1671753,238.2358093
741.5647583,240.5196686
